fileName;pathToFile;logging;exceptionExhaustive;exceptionBaseHeuristic;exceptionIncrementalHeuristic;exceptionAdvancedHeuristic;totalAmountSolutionsExhaustive;totalAmountSolutionsBaseHeuristic;totalAmountSolutionsIncrementalHeuristic;totalAmountSolutionsAdvancedHeuristic;amountCheapestSolutionsExhaustive;amountCheapestSolutionsBaseHeuristic;amountSolutionsIncrementalHeuristic;amountCheapestSolutionsAdvancedHeuristic;costCheapestSolutionExhaustive;costCheapestSolutionBaseHeuristic;costCheapestSolutionIncrementalHeuristic;costCheapestSolutionAdvancedHeuristic;exhaustiveCombsGenInSec;exhaustiveCalcMeasureInSec;exhaustiveExecutionTimeInSec;baseHeuristicCombsGenInSec;baseHeuristicCalcMeasureInSec;baseHeuristicExecutionTimeInSec;incrementalHeuristicCombsGenInSec;incrementalHeuristicCalcMeasureInSec;incrementalHeuristicExecutionTimeInSec;advancedHeuristicCombsGenInSec;advancedHeuristicCalcMeasureInSec;advancedHeuristicExecutionTimeInSec;amountReaders;amountWriters;amountDataObjects;averageAmountDataObjectsPerDecision;amountReadersPerDataObject;amountWritersPerDataObject;amountExclusiveGateways;amountParallelGateways;amountTasks;amountElements;amountSumAddActors;averageAmountAddActors;privateSphereSize;averageSphereSum;pathsThroughProcess;amountMandConst;amountExclConst
randomProcessModel118_annotated1_lb4ub54iter0.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Static/lb4/randomProcessModel118_annotated1_lb4ub54iter0.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;27.0;27.0;27.0;27.0;4.54803E-4;3.66285E-4;8.21088E-4;6.39898E-4;2.77262E-4;9.1716E-4;0.001283766;3.20808E-4;0.001604574;0.005311317;0.001937275;0.007248592;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;1.0;0;0;0
randomProcessModel118_annotated1_lb4ub54iter1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Static/lb4/randomProcessModel118_annotated1_lb4ub54iter1.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;22.0;22.0;22.0;22.0;2.44105E-4;3.3209E-4;5.76195E-4;5.3867E-4;3.06988E-4;8.45658E-4;9.00927E-4;2.98919E-4;0.001199846;0.001577943;2.09639E-4;0.001787582;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;1.0;0;0;0
randomProcessModel118_annotated1_lb4ub54iter2.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Static/lb4/randomProcessModel118_annotated1_lb4ub54iter2.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;23.0;23.0;23.0;23.0;2.66786E-4;3.43092E-4;6.09878E-4;3.58175E-4;1.5414E-4;5.12315E-4;5.54294E-4;1.53476E-4;7.0777E-4;0.002535532;6.07122E-4;0.003142654;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;1.0;0;0;0
randomProcessModel118_annotated1_lb4ub54iter3.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Static/lb4/randomProcessModel118_annotated1_lb4ub54iter3.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;24.0;24.0;24.0;24.0;1.72186E-4;1.49434E-4;3.2162E-4;0.001552613;5.83692E-4;0.002136305;6.63914E-4;3.22789E-4;9.86703E-4;0.001470702;3.35793E-4;0.001806495;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;1.0;0;0;0
randomProcessModel118_annotated1_lb4ub54iter4.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Static/lb4/randomProcessModel118_annotated1_lb4ub54iter4.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;23.0;23.0;23.0;23.0;3.39359E-4;5.61788E-4;9.01147E-4;4.17853E-4;2.05996E-4;6.23849E-4;4.90952E-4;1.25032E-4;6.15984E-4;0.001341374;2.80813E-4;0.001622187;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;1.0;0;0;0
randomProcessModel118_annotated1_lb4ub54iter5.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Static/lb4/randomProcessModel118_annotated1_lb4ub54iter5.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;19.0;19.0;19.0;19.0;2.08754E-4;1.52165E-4;3.60919E-4;3.23466E-4;2.0366E-4;5.27126E-4;4.99385E-4;1.62017E-4;6.61402E-4;0.001741907;2.41378E-4;0.001983285;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;1.0;0;0;0
randomProcessModel118_annotated1_lb4ub54iter6.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Static/lb4/randomProcessModel118_annotated1_lb4ub54iter6.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;22.0;22.0;22.0;22.0;1.61768E-4;1.12359E-4;2.74127E-4;2.89135E-4;1.24195E-4;4.1333E-4;3.85809E-4;1.32366E-4;5.18175E-4;0.002215666;2.47527E-4;0.002463193;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;1.0;0;0;0
randomProcessModel118_annotated1_lb4ub54iter7.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Static/lb4/randomProcessModel118_annotated1_lb4ub54iter7.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;23.0;23.0;23.0;23.0;1.33493E-4;1.17067E-4;2.5056E-4;3.45415E-4;1.38262E-4;4.83677E-4;4.22478E-4;1.70214E-4;5.92692E-4;0.001266641;2.17401E-4;0.001484042;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;1.0;0;0;0
randomProcessModel118_annotated1_lb4ub54iter8.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Static/lb4/randomProcessModel118_annotated1_lb4ub54iter8.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;24.0;24.0;24.0;24.0;2.5527E-4;1.82475E-4;4.37745E-4;2.44302E-4;1.99433E-4;4.43735E-4;4.18165E-4;1.73986E-4;5.92151E-4;0.001173295;1.61652E-4;0.001334947;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;1.0;0;0;0
randomProcessModel118_annotated1_lb4ub54iter9.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Static/lb4/randomProcessModel118_annotated1_lb4ub54iter9.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;23.0;23.0;23.0;23.0;3.60516E-4;3.82306E-4;7.42822E-4;2.19834E-4;1.33538E-4;3.53372E-4;3.31129E-4;1.40987E-4;4.72116E-4;0.001187478;1.68364E-4;0.001355842;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;1.0;0;0;0
randomProcessModel118_annotated1_lb5ub54iter0.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Static/lb5/randomProcessModel118_annotated1_lb5ub54iter0.bpmn;null;functionality.HeapSpaceException;null;null;null;;1;1;1;null;1;1;1;null;21.0;21.0;21.0;null;null;null;4.79487E-4;1.73358E-4;6.52845E-4;0.001552136;4.25517E-4;0.001977653;0.001193547;1.73635E-4;0.001367182;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;5;1.0;0;0;0
randomProcessModel118_annotated1_lb5ub54iter1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Static/lb5/randomProcessModel118_annotated1_lb5ub54iter1.bpmn;null;null;null;null;null;;1;1;1;null;1;1;1;null;24.0;24.0;24.0;null;null;null;2.32892E-4;1.74069E-4;4.06961E-4;3.92098E-4;1.40885E-4;5.32983E-4;9.75461E-4;2.17688E-4;0.001193149;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;5;1.0;0;0;0
randomProcessModel118_annotated1_lb5ub54iter2.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Static/lb5/randomProcessModel118_annotated1_lb5ub54iter2.bpmn;null;null;null;null;null;;1;1;1;null;1;1;1;null;20.0;20.0;20.0;null;null;null;5.73339E-4;2.27247E-4;8.00586E-4;2.36194E-4;9.6443E-5;3.32637E-4;0.001055371;1.95109E-4;0.00125048;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;5;1.0;0;0;0
