fileName;pathToFile;logging;exceptionExhaustive;exceptionBaseHeuristic;exceptionIncrementalHeuristic;exceptionAdvancedHeuristic;totalAmountSolutionsExhaustive;totalAmountSolutionsBaseHeuristic;totalAmountSolutionsIncrementalHeuristic;totalAmountSolutionsAdvancedHeuristic;amountCheapestSolutionsExhaustive;amountCheapestSolutionsBaseHeuristic;amountSolutionsIncrementalHeuristic;amountCheapestSolutionsAdvancedHeuristic;costCheapestSolutionExhaustive;costCheapestSolutionBaseHeuristic;costCheapestSolutionIncrementalHeuristic;costCheapestSolutionAdvancedHeuristic;exhaustiveCombsGenInSec;exhaustiveCalcMeasureInSec;exhaustiveExecutionTimeInSec;baseHeuristicCombsGenInSec;baseHeuristicCalcMeasureInSec;baseHeuristicExecutionTimeInSec;incrementalHeuristicCombsGenInSec;incrementalHeuristicCalcMeasureInSec;incrementalHeuristicExecutionTimeInSec;advancedHeuristicCombsGenInSec;advancedHeuristicCalcMeasureInSec;advancedHeuristicExecutionTimeInSec;amountReaders;amountWriters;amountDataObjects;averageAmountDataObjectsPerDecision;amountReadersPerDataObject;amountWritersPerDataObject;amountExclusiveGateways;amountParallelGateways;amountTasks;amountElements;amountSumAddActors;averageAmountAddActors;privateSphereSize;averageSphereSum;pathsThroughProcess;amountMandConst;amountExclConst
randomProcessModel336_annotated1_lb4ub54iter0.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Weak-Dynamic/lb4/randomProcessModel336_annotated1_lb4ub54iter0.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;49.0;49.0;49.0;49.0;0.137803045;1.95725E-4;0.13799877;0.353961589;0.001401776;0.355363365;0.22165021;1.80251E-4;0.221830461;0.220852392;1.45921E-4;0.220998313;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;2.0;0;0;0
randomProcessModel336_annotated1_lb4ub54iter1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Weak-Dynamic/lb4/randomProcessModel336_annotated1_lb4ub54iter1.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;53.0;53.0;53.0;53.0;0.13985436;1.94766E-4;0.140049126;0.28116767;2.07047E-4;0.281374717;0.223754951;1.5636E-4;0.223911311;0.233514527;2.2438E-4;0.233738907;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;2.0;0;0;0
randomProcessModel336_annotated1_lb4ub54iter2.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Weak-Dynamic/lb4/randomProcessModel336_annotated1_lb4ub54iter2.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;42.0;42.0;42.0;42.0;0.149000352;1.34717E-4;0.149135069;0.240349578;2.44749E-4;0.240594327;0.230826302;1.59643E-4;0.230985945;0.230540535;2.38181E-4;0.230778716;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;2.0;0;0;0
randomProcessModel336_annotated1_lb4ub54iter3.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Weak-Dynamic/lb4/randomProcessModel336_annotated1_lb4ub54iter3.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;45.0;45.0;45.0;45.0;0.144005736;1.22933E-4;0.144128669;0.228831118;1.41286E-4;0.228972404;0.223076124;1.41242E-4;0.223217366;0.219143345;1.36213E-4;0.219279558;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;2.0;0;0;0
randomProcessModel336_annotated1_lb4ub54iter4.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Weak-Dynamic/lb4/randomProcessModel336_annotated1_lb4ub54iter4.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;49.0;49.0;49.0;49.0;0.141376199;1.7033E-4;0.141546529;0.225849215;1.85313E-4;0.226034528;0.252635374;1.34696E-4;0.25277007;0.221948569;1.33453E-4;0.222082022;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;2.0;0;0;0
randomProcessModel336_annotated1_lb4ub54iter5.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Weak-Dynamic/lb4/randomProcessModel336_annotated1_lb4ub54iter5.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;46.0;46.0;46.0;46.0;0.137957914;1.49691E-4;0.138107605;0.225133442;1.39449E-4;0.225272891;0.221884383;2.23766E-4;0.222108149;0.237978756;1.6114E-4;0.238139896;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;2.0;0;0;0
randomProcessModel336_annotated1_lb4ub54iter6.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Weak-Dynamic/lb4/randomProcessModel336_annotated1_lb4ub54iter6.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;43.0;43.0;43.0;43.0;0.136797838;1.09464E-4;0.136907302;0.222142517;1.25597E-4;0.222268114;0.221406295;1.36568E-4;0.221542863;0.234794812;1.53205E-4;0.234948017;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;2.0;0;0;0
randomProcessModel336_annotated1_lb4ub54iter7.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Weak-Dynamic/lb4/randomProcessModel336_annotated1_lb4ub54iter7.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;46.0;46.0;46.0;46.0;0.139932929;1.14648E-4;0.140047577;0.221556081;1.18089E-4;0.22167417;0.261326497;1.33422E-4;0.261459919;0.219791604;1.28802E-4;0.219920406;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;2.0;0;0;0
randomProcessModel336_annotated1_lb4ub54iter8.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Weak-Dynamic/lb4/randomProcessModel336_annotated1_lb4ub54iter8.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;43.0;43.0;43.0;43.0;0.13837092;1.1638E-4;0.1384873;0.232402322;1.38231E-4;0.232540553;0.220703922;1.27543E-4;0.220831465;0.228462242;1.31534E-4;0.228593776;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;2.0;0;0;0
randomProcessModel336_annotated1_lb4ub54iter9.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Weak-Dynamic/lb4/randomProcessModel336_annotated1_lb4ub54iter9.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;52.0;52.0;52.0;52.0;0.139507824;1.14632E-4;0.139622456;0.235054695;1.56795E-4;0.23521149;0.221592764;1.23172E-4;0.221715936;0.220345065;1.19608E-4;0.220464673;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;2.0;0;0;0
