fileName;pathToFile;logging;exceptionExhaustive;exceptionBaseHeuristic;exceptionIncrementalHeuristic;exceptionAdvancedHeuristic;totalAmountSolutionsExhaustive;totalAmountSolutionsBaseHeuristic;totalAmountSolutionsIncrementalHeuristic;totalAmountSolutionsAdvancedHeuristic;amountCheapestSolutionsExhaustive;amountCheapestSolutionsBaseHeuristic;amountSolutionsIncrementalHeuristic;amountCheapestSolutionsAdvancedHeuristic;costCheapestSolutionExhaustive;costCheapestSolutionBaseHeuristic;costCheapestSolutionIncrementalHeuristic;costCheapestSolutionAdvancedHeuristic;exhaustiveCombsGenInSec;exhaustiveCalcMeasureInSec;exhaustiveExecutionTimeInSec;baseHeuristicCombsGenInSec;baseHeuristicCalcMeasureInSec;baseHeuristicExecutionTimeInSec;incrementalHeuristicCombsGenInSec;incrementalHeuristicCalcMeasureInSec;incrementalHeuristicExecutionTimeInSec;advancedHeuristicCombsGenInSec;advancedHeuristicCalcMeasureInSec;advancedHeuristicExecutionTimeInSec;amountReaders;amountWriters;amountDataObjects;averageAmountDataObjectsPerDecision;amountReadersPerDataObject;amountWritersPerDataObject;amountExclusiveGateways;amountParallelGateways;amountTasks;amountElements;amountSumAddActors;averageAmountAddActors;privateSphereSize;averageSphereSum;pathsThroughProcess;amountMandConst;amountExclConst
randomProcessModel7_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Static/BoundaryTest_decision-1/annotated/randomProcessModel7_annotated1.bpmn;null;null;null;null;null;10;1;1;1;1;1;1;1;0.0;0.0;0.0;0.0;2.49178E-4;2.72348E-4;5.21526E-4;1.96713E-4;7.6839E-5;2.73552E-4;0.001883664;5.58896E-4;0.00244256;6.4578E-4;1.02924E-4;7.48704E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;1.0;2;0;0
randomProcessModel5_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Static/BoundaryTest_decision-1/annotated/randomProcessModel5_annotated1.bpmn;null;null;null;null;null;10;1;1;1;1;1;1;1;0.0;0.0;0.0;0.0;1.38636E-4;3.24907E-4;4.63543E-4;2.4208E-4;9.4736E-5;3.36816E-4;2.18158E-4;8.9456E-5;3.07614E-4;3.33993E-4;7.2378E-5;4.06371E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;1.0;2;0;0
randomProcessModel10_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Static/BoundaryTest_decision-1/annotated/randomProcessModel10_annotated1.bpmn;null;null;null;null;null;10;1;1;1;1;1;1;1;0.0;0.0;0.0;0.0;1.98438E-4;2.21596E-4;4.20034E-4;2.17672E-4;7.9777E-5;2.97449E-4;2.02395E-4;9.6258E-5;2.98653E-4;2.10669E-4;9.43E-5;3.04969E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;1.0;2;0;0
randomProcessModel6_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Static/BoundaryTest_decision-1/annotated/randomProcessModel6_annotated1.bpmn;null;null;null;null;null;10;1;1;1;1;1;1;1;0.0;0.0;0.0;0.0;1.71762E-4;2.28308E-4;4.0007E-4;1.81186E-4;1.06329E-4;2.87515E-4;1.47707E-4;6.8342E-5;2.16049E-4;2.27411E-4;1.20666E-4;3.48077E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;1.0;2;0;0
randomProcessModel2_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Static/BoundaryTest_decision-1/annotated/randomProcessModel2_annotated1.bpmn;null;null;null;null;null;10;1;1;1;3;1;1;1;1.0;1.0;1.0;1.0;1.62309E-4;2.94482E-4;4.56791E-4;1.77501E-4;8.3265E-5;2.60766E-4;2.30004E-4;7.7935E-5;3.07939E-4;2.59396E-4;9.4949E-5;3.54345E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;1.0;2;0;0
randomProcessModel9_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Static/BoundaryTest_decision-1/annotated/randomProcessModel9_annotated1.bpmn;null;null;null;null;null;10;1;1;1;3;1;1;1;1.0;1.0;1.0;1.0;1.52487E-4;2.05777E-4;3.58264E-4;1.42307E-4;6.836E-5;2.10667E-4;2.45928E-4;9.0365E-5;3.36293E-4;2.59924E-4;7.3611E-5;3.33535E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;1.0;2;0;0
randomProcessModel4_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Static/BoundaryTest_decision-1/annotated/randomProcessModel4_annotated1.bpmn;null;null;null;null;null;10;1;1;1;1;1;1;1;0.0;0.0;0.0;0.0;1.69374E-4;0.001684345;0.001853719;1.88831E-4;8.5637E-5;2.74468E-4;1.29419E-4;4.5951E-5;1.7537E-4;6.32646E-4;7.2225E-5;7.04871E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;1.0;2;0;0
randomProcessModel1_annotated11.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Static/BoundaryTest_decision-1/annotated/randomProcessModel1_annotated11.bpmn;null;null;null;null;null;10;1;1;1;1;1;1;1;0.0;0.0;0.0;0.0;1.73173E-4;2.19816E-4;3.92989E-4;9.56E-5;4.4347E-5;1.39947E-4;2.5279E-4;5.9084E-5;3.11874E-4;2.40517E-4;7.5328E-5;3.15845E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;1.0;2;0;0
randomProcessModel3_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Static/BoundaryTest_decision-1/annotated/randomProcessModel3_annotated1.bpmn;null;null;null;null;null;10;1;1;1;1;1;1;1;0.0;0.0;0.0;0.0;8.8446E-5;1.29882E-4;2.18328E-4;2.1639E-4;6.2011E-5;2.78401E-4;2.24097E-4;6.1417E-5;2.85514E-4;1.89948E-4;5.6866E-5;2.46814E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;1.0;2;0;0
randomProcessModel8_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Static/BoundaryTest_decision-1/annotated/randomProcessModel8_annotated1.bpmn;null;null;null;null;null;10;1;1;1;6;1;1;1;2.0;2.0;2.0;2.0;1.31594E-4;1.53773E-4;2.85367E-4;2.22493E-4;1.07749E-4;3.30242E-4;2.04553E-4;5.5227E-5;2.5978E-4;2.38548E-4;6.2084E-5;3.00632E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;1.0;2;0;0
