fileName;pathToFile;logging;exceptionExhaustive;exceptionBaseHeuristic;exceptionIncrementalHeuristic;exceptionAdvancedHeuristic;totalAmountSolutionsExhaustive;totalAmountSolutionsBaseHeuristic;totalAmountSolutionsIncrementalHeuristic;totalAmountSolutionsAdvancedHeuristic;amountCheapestSolutionsExhaustive;amountCheapestSolutionsBaseHeuristic;amountSolutionsIncrementalHeuristic;amountCheapestSolutionsAdvancedHeuristic;costCheapestSolutionExhaustive;costCheapestSolutionBaseHeuristic;costCheapestSolutionIncrementalHeuristic;costCheapestSolutionAdvancedHeuristic;exhaustiveCombsGenInSec;exhaustiveCalcMeasureInSec;exhaustiveExecutionTimeInSec;baseHeuristicCombsGenInSec;baseHeuristicCalcMeasureInSec;baseHeuristicExecutionTimeInSec;incrementalHeuristicCombsGenInSec;incrementalHeuristicCalcMeasureInSec;incrementalHeuristicExecutionTimeInSec;advancedHeuristicCombsGenInSec;advancedHeuristicCalcMeasureInSec;advancedHeuristicExecutionTimeInSec;amountReaders;amountWriters;amountDataObjects;averageAmountDataObjectsPerDecision;amountReadersPerDataObject;amountWritersPerDataObject;amountExclusiveGateways;amountParallelGateways;amountTasks;amountElements;amountSumAddActors;averageAmountAddActors;privateSphereSize;averageSphereSum;pathsThroughProcess;amountMandConst;amountExclConst
randomProcessModel423_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Strong-Dynamic/BoundaryTest_decision-1/annotated/randomProcessModel423_annotated1.bpmn;null;null;null;null;null;10;1;1;1;3;1;1;1;5.0;5.0;5.0;5.0;1.43372E-4;9.8021E-4;0.001123582;1.89705E-4;1.84616E-4;3.74321E-4;4.12347E-4;0.002077009;0.002489356;1.93768E-4;1.66014E-4;3.59782E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;3.0;2;0;0
randomProcessModel422_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Strong-Dynamic/BoundaryTest_decision-1/annotated/randomProcessModel422_annotated1.bpmn;null;null;null;null;null;10;1;1;1;2;1;1;1;3.0;3.0;3.0;3.0;1.05962E-4;8.46063E-4;9.52025E-4;1.97569E-4;1.65817E-4;3.63386E-4;1.94803E-4;1.69118E-4;3.63921E-4;1.80463E-4;1.22313E-4;3.02776E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;3.0;2;0;0
randomProcessModel426_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Strong-Dynamic/BoundaryTest_decision-1/annotated/randomProcessModel426_annotated1.bpmn;null;null;null;null;null;10;1;1;1;6;1;1;1;6.0;6.0;6.0;6.0;4.68281E-4;0.002100601;0.002568882;1.27852E-4;1.49482E-4;2.77334E-4;1.48152E-4;1.11511E-4;2.59663E-4;1.54483E-4;1.45351E-4;2.99834E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;3.0;2;0;0
randomProcessModel425_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Strong-Dynamic/BoundaryTest_decision-1/annotated/randomProcessModel425_annotated1.bpmn;null;null;null;null;null;10;1;1;1;1;1;1;1;4.0;4.0;4.0;4.0;9.1471E-5;6.35335E-4;7.26806E-4;1.79841E-4;1.27285E-4;3.07126E-4;5.11344E-4;5.69659E-4;0.001081003;2.64367E-4;1.53513E-4;4.1788E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;3.0;2;0;0
randomProcessModel429_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Strong-Dynamic/BoundaryTest_decision-1/annotated/randomProcessModel429_annotated1.bpmn;null;null;null;null;null;10;1;1;1;1;1;1;1;4.0;4.0;4.0;4.0;7.6091E-5;5.20203E-4;5.96294E-4;1.85698E-4;1.47131E-4;3.32829E-4;1.9083E-4;1.27619E-4;3.18449E-4;1.82855E-4;9.921E-5;2.82065E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;3.0;2;0;0
randomProcessModel421_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Strong-Dynamic/BoundaryTest_decision-1/annotated/randomProcessModel421_annotated1.bpmn;null;null;null;null;null;10;1;1;1;1;1;1;1;3.0;3.0;3.0;3.0;7.7524E-5;5.37312E-4;6.14836E-4;2.04969E-4;1.6347E-4;3.68439E-4;1.61081E-4;1.97395E-4;3.58476E-4;2.28229E-4;1.47296E-4;3.75525E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;3.0;2;0;0
randomProcessModel424_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Strong-Dynamic/BoundaryTest_decision-1/annotated/randomProcessModel424_annotated1.bpmn;null;null;null;null;null;10;1;1;1;1;1;1;1;4.0;4.0;4.0;4.0;6.9319E-5;4.2544E-4;4.94759E-4;1.42097E-4;5.19905E-4;6.62002E-4;1.47761E-4;1.29905E-4;2.77666E-4;1.88283E-4;1.66532E-4;3.54815E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;3.0;2;0;0
randomProcessModel430_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Strong-Dynamic/BoundaryTest_decision-1/annotated/randomProcessModel430_annotated1.bpmn;null;null;null;null;null;10;1;1;1;3;1;1;1;5.0;5.0;5.0;5.0;1.45429E-4;9.65831E-4;0.00111126;1.47034E-4;1.07798E-4;2.54832E-4;1.55586E-4;1.06928E-4;2.62514E-4;1.63522E-4;8.1113E-5;2.44635E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;3.0;2;0;0
randomProcessModel427_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Strong-Dynamic/BoundaryTest_decision-1/annotated/randomProcessModel427_annotated1.bpmn;null;null;null;null;null;10;1;1;1;2;1;1;1;3.0;3.0;3.0;3.0;6.8237E-5;3.97966E-4;4.66203E-4;1.7126E-4;8.3021E-5;2.54281E-4;1.97743E-4;9.3482E-5;2.91225E-4;4.26027E-4;2.5403E-4;6.80057E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;3.0;2;0;0
randomProcessModel428_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Strong-Dynamic/BoundaryTest_decision-1/annotated/randomProcessModel428_annotated1.bpmn;null;null;null;null;null;10;1;1;1;6;1;1;1;8.0;8.0;8.0;8.0;1.72251E-4;4.89992E-4;6.62243E-4;2.79812E-4;1.49308E-4;4.2912E-4;1.61582E-4;9.3944E-5;2.55526E-4;2.10759E-4;8.1751E-5;2.9251E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;3.0;2;0;0
