fileName;pathToFile;logging;exceptionExhaustive;exceptionBaseHeuristic;exceptionIncrementalHeuristic;exceptionAdvancedHeuristic;totalAmountSolutionsExhaustive;totalAmountSolutionsBaseHeuristic;totalAmountSolutionsIncrementalHeuristic;totalAmountSolutionsAdvancedHeuristic;amountCheapestSolutionsExhaustive;amountCheapestSolutionsBaseHeuristic;amountSolutionsIncrementalHeuristic;amountCheapestSolutionsAdvancedHeuristic;costCheapestSolutionExhaustive;costCheapestSolutionBaseHeuristic;costCheapestSolutionIncrementalHeuristic;costCheapestSolutionAdvancedHeuristic;exhaustiveCombsGenInSec;exhaustiveCalcMeasureInSec;exhaustiveExecutionTimeInSec;baseHeuristicCombsGenInSec;baseHeuristicCalcMeasureInSec;baseHeuristicExecutionTimeInSec;incrementalHeuristicCombsGenInSec;incrementalHeuristicCalcMeasureInSec;incrementalHeuristicExecutionTimeInSec;advancedHeuristicCombsGenInSec;advancedHeuristicCalcMeasureInSec;advancedHeuristicExecutionTimeInSec;amountReaders;amountWriters;amountDataObjects;averageAmountDataObjectsPerDecision;amountReadersPerDataObject;amountWritersPerDataObject;amountExclusiveGateways;amountParallelGateways;amountTasks;amountElements;amountSumAddActors;averageAmountAddActors;privateSphereSize;averageSphereSum;pathsThroughProcess;amountMandConst;amountExclConst
randomProcessModel228_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Weak-Dynamic/BoundaryTest_decision-1/annotated/randomProcessModel228_annotated1.bpmn;null;null;null;null;null;10;1;1;1;6;1;1;1;4.0;4.0;4.0;4.0;0.001118448;0.001061116;0.002179564;2.95564E-4;3.554E-5;3.31104E-4;2.57055E-4;3.8036E-5;2.95091E-4;1.59619E-4;3.2102E-5;1.91721E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;2.0;2;0;0
randomProcessModel230_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Weak-Dynamic/BoundaryTest_decision-1/annotated/randomProcessModel230_annotated1.bpmn;null;null;null;null;null;10;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;8.9845E-5;9.8302E-5;1.88147E-4;1.44281E-4;3.3724E-5;1.78005E-4;2.82324E-4;7.7881E-5;3.60205E-4;1.3079E-4;3.4824E-5;1.65614E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;2.0;2;0;0
randomProcessModel221_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Weak-Dynamic/BoundaryTest_decision-1/annotated/randomProcessModel221_annotated1.bpmn;null;null;null;null;null;10;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;9.1928E-5;1.09523E-4;2.01451E-4;1.23152E-4;3.4018E-5;1.5717E-4;1.25296E-4;3.4642E-5;1.59938E-4;1.96484E-4;5.2754E-5;2.49238E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;2.0;2;0;0
randomProcessModel229_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Weak-Dynamic/BoundaryTest_decision-1/annotated/randomProcessModel229_annotated1.bpmn;null;null;null;null;null;10;1;1;1;3;1;1;1;3.0;3.0;3.0;3.0;1.55491E-4;2.11582E-4;3.67073E-4;1.27741E-4;3.3733E-5;1.61474E-4;1.67556E-4;3.6472E-5;2.04028E-4;2.03001E-4;4.5243E-5;2.48244E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;2.0;2;0;0
randomProcessModel226_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Weak-Dynamic/BoundaryTest_decision-1/annotated/randomProcessModel226_annotated1.bpmn;null;null;null;null;null;10;1;1;1;1;1;1;1;2.0;2.0;2.0;2.0;1.65788E-4;2.1577E-4;3.81558E-4;1.88166E-4;6.1867E-5;2.50033E-4;1.657E-4;3.5309E-5;2.01009E-4;2.11627E-4;6.6205E-5;2.77832E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;2.0;2;0;0
randomProcessModel227_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Weak-Dynamic/BoundaryTest_decision-1/annotated/randomProcessModel227_annotated1.bpmn;null;null;null;null;null;10;1;1;1;1;1;1;1;2.0;2.0;2.0;2.0;1.97318E-4;1.15227E-4;3.12545E-4;1.51511E-4;5.679E-5;2.08301E-4;1.16141E-4;3.744E-5;1.53581E-4;1.53659E-4;6.8895E-5;2.22554E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;2.0;2;0;0
randomProcessModel225_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Weak-Dynamic/BoundaryTest_decision-1/annotated/randomProcessModel225_annotated1.bpmn;null;null;null;null;null;10;1;1;1;2;1;1;1;1.0;1.0;1.0;1.0;8.291E-5;1.05777E-4;1.88687E-4;2.79331E-4;1.01279E-4;3.8061E-4;1.25621E-4;3.2775E-5;1.58396E-4;1.23562E-4;1.87663E-4;3.11225E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;2.0;2;0;0
randomProcessModel223_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Weak-Dynamic/BoundaryTest_decision-1/annotated/randomProcessModel223_annotated1.bpmn;null;null;null;null;null;10;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;8.5621E-5;9.0525E-5;1.76146E-4;1.09219E-4;3.112E-5;1.40339E-4;1.39635E-4;3.7858E-5;1.77493E-4;1.18109E-4;3.9815E-5;1.57924E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;2.0;2;0;0
randomProcessModel222_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Weak-Dynamic/BoundaryTest_decision-1/annotated/randomProcessModel222_annotated1.bpmn;null;null;null;null;null;10;1;1;1;3;1;1;1;2.0;2.0;2.0;2.0;2.15889E-4;2.31077E-4;4.46966E-4;1.22513E-4;4.756E-5;1.70073E-4;1.23196E-4;2.8557E-5;1.51753E-4;1.65137E-4;4.4079E-5;2.09216E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;2.0;2;0;0
randomProcessModel224_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Weak-Dynamic/BoundaryTest_decision-1/annotated/randomProcessModel224_annotated1.bpmn;null;null;null;null;null;10;1;1;1;1;1;1;1;2.0;2.0;2.0;2.0;2.273E-4;2.81714E-4;5.09014E-4;1.44741E-4;3.5612E-5;1.80353E-4;1.33436E-4;5.0222E-5;1.83658E-4;1.55572E-4;2.9912E-5;1.85484E-4;2.0;3.0;1;1.0;2.0;3.0;1;0;10;14;3;3.0;6;2.0;2;0;0
randomProcessModel235_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_1-BoundaryTest1_Weak-Dynamic/BoundaryTest_decision-2/annotated/randomProcessModel235_annotated1.bpmn;null;null;null;null;null;100;1;1;1;60;1;1;1;10.0;10.0;10.0;10.0;1.56521E-4;6.7107E-4;8.27591E-4;2.7654E-4;5.6935E-5;3.33475E-4;2.19557E-4;5.7265E-5;2.76822E-4;2.40379E-4;9.6642E-5;3.37021E-4;2.0;4.0;2;1.0;1.0;2.0;2;0;14;20;6;3.0;6;2.0;4;0;0
