fileName;pathToFile;logging;exceptionExhaustive;exceptionBaseHeuristic;exceptionIncrementalHeuristic;exceptionAdvancedHeuristic;totalAmountSolutionsExhaustive;totalAmountSolutionsBaseHeuristic;totalAmountSolutionsIncrementalHeuristic;totalAmountSolutionsAdvancedHeuristic;amountCheapestSolutionsExhaustive;amountCheapestSolutionsBaseHeuristic;amountSolutionsIncrementalHeuristic;amountCheapestSolutionsAdvancedHeuristic;costCheapestSolutionExhaustive;costCheapestSolutionBaseHeuristic;costCheapestSolutionIncrementalHeuristic;costCheapestSolutionAdvancedHeuristic;exhaustiveCombsGenInSec;exhaustiveCalcMeasureInSec;exhaustiveExecutionTimeInSec;baseHeuristicCombsGenInSec;baseHeuristicCalcMeasureInSec;baseHeuristicExecutionTimeInSec;incrementalHeuristicCombsGenInSec;incrementalHeuristicCalcMeasureInSec;incrementalHeuristicExecutionTimeInSec;advancedHeuristicCombsGenInSec;advancedHeuristicCalcMeasureInSec;advancedHeuristicExecutionTimeInSec;amountReaders;amountWriters;amountDataObjects;averageAmountDataObjectsPerDecision;amountReadersPerDataObject;amountWritersPerDataObject;amountExclusiveGateways;amountParallelGateways;amountTasks;amountElements;amountSumAddActors;averageAmountAddActors;privateSphereSize;averageSphereSum;pathsThroughProcess;amountMandConst;amountExclConst
randomProcessModel539_annotated1_lb4ub54iter0.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Strong-Dynamic/lb4/randomProcessModel539_annotated1_lb4ub54iter0.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;71.0;71.0;71.0;71.0;0.153433574;1.673396554;1.826830128;0.425299266;1.528118161;1.953417427;0.864968048;1.743149212;2.60811726;0.527889706;1.356382134;1.88427184;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;3.0;0;0;0
randomProcessModel539_annotated1_lb4ub54iter1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Strong-Dynamic/lb4/randomProcessModel539_annotated1_lb4ub54iter1.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;69.0;69.0;69.0;69.0;0.151531284;1.699216704;1.850747988;0.35909062;1.643144093;2.002234713;0.393346738;1.590083138;1.983429876;0.354615208;1.708015151;2.062630359;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;3.0;0;0;0
randomProcessModel539_annotated1_lb4ub54iter2.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Strong-Dynamic/lb4/randomProcessModel539_annotated1_lb4ub54iter2.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;71.0;71.0;71.0;71.0;0.148938793;1.667597908;1.816536701;0.355101868;1.721496073;2.076597941;0.363704276;1.745271047;2.108975323;0.369413074;1.747160465;2.116573539;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;3.0;0;0;0
randomProcessModel539_annotated1_lb4ub54iter3.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Strong-Dynamic/lb4/randomProcessModel539_annotated1_lb4ub54iter3.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;63.0;63.0;63.0;63.0;0.148846357;1.669495228;1.818341585;0.367936824;1.837121635;2.205058459;0.357796978;1.813434603;2.171231581;0.403667411;1.76601279;2.169680201;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;3.0;0;0;0
randomProcessModel539_annotated1_lb4ub54iter4.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Strong-Dynamic/lb4/randomProcessModel539_annotated1_lb4ub54iter4.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;68.0;68.0;68.0;68.0;0.146386502;1.70895326;1.855339762;0.355257631;1.674663819;2.02992145;0.355028888;1.69723096;2.052259848;0.409447726;1.659927955;2.069375681;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;3.0;0;0;0
randomProcessModel539_annotated1_lb4ub54iter5.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Strong-Dynamic/lb4/randomProcessModel539_annotated1_lb4ub54iter5.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;76.0;76.0;76.0;76.0;0.146096483;1.645634627;1.79173111;0.382631363;1.626680613;2.009311976;0.355741352;1.772375884;2.128117236;0.359111679;1.756663332;2.115775011;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;3.0;0;0;0
randomProcessModel539_annotated1_lb4ub54iter6.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Strong-Dynamic/lb4/randomProcessModel539_annotated1_lb4ub54iter6.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;74.0;74.0;74.0;74.0;0.145641758;1.766090152;1.91173191;0.371730554;1.632691499;2.004422053;0.361716559;1.787724639;2.149441198;0.357877511;1.788390643;2.146268154;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;3.0;0;0;0
randomProcessModel539_annotated1_lb4ub54iter7.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Strong-Dynamic/lb4/randomProcessModel539_annotated1_lb4ub54iter7.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;82.0;82.0;82.0;82.0;0.146330846;1.698793568;1.845124414;0.38376406;1.622723197;2.006487257;0.387064941;1.668481656;2.055546597;0.364955264;1.744948831;2.109904095;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;3.0;0;0;0
randomProcessModel539_annotated1_lb4ub54iter8.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Strong-Dynamic/lb4/randomProcessModel539_annotated1_lb4ub54iter8.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;75.0;75.0;75.0;75.0;0.146033345;1.763922327;1.909955672;0.358566566;1.71034676;2.068913326;0.358188088;1.762347302;2.12053539;0.406434497;1.680043971;2.086478468;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;3.0;0;0;0
randomProcessModel539_annotated1_lb4ub54iter9.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Strong-Dynamic/lb4/randomProcessModel539_annotated1_lb4ub54iter9.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;69.0;69.0;69.0;69.0;0.149548846;1.783080254;1.9326291;0.363506725;1.624537625;1.98804435;0.382882554;1.621454207;2.004336761;0.356707304;1.783947137;2.140654441;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;4;3.0;0;0;0
randomProcessModel539_annotated1_lb5ub54iter0.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Strong-Dynamic/lb5/randomProcessModel539_annotated1_lb5ub54iter0.bpmn;null;functionality.HeapSpaceException;null;null;null;;1;1;1;null;1;1;1;null;64.0;64.0;64.0;null;null;null;0.380756318;1.528167691;1.908924009;0.386892704;1.192400579;1.579293283;0.385976187;1.648759121;2.034735308;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;5;3.0;0;0;0
randomProcessModel539_annotated1_lb5ub54iter1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Strong-Dynamic/lb5/randomProcessModel539_annotated1_lb5ub54iter1.bpmn;null;null;null;null;null;;1;1;1;null;1;1;1;null;67.0;67.0;67.0;null;null;null;0.376853047;1.375831864;1.752684911;0.388549576;1.474730182;1.863279758;0.35767664;1.111434487;1.469111127;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;5;3.0;0;0;0
randomProcessModel539_annotated1_lb5ub54iter2.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test1_2-BoundaryTest2_Strong-Dynamic/lb5/randomProcessModel539_annotated1_lb5ub54iter2.bpmn;null;null;null;null;null;;1;1;1;null;1;1;1;null;65.0;65.0;65.0;null;null;null;0.350620438;1.606872245;1.957492683;0.382618546;1.085637756;1.468256302;0.36408059;1.706652713;2.070733303;16.0;16.0;12;1.0;1.3333333333333333;1.3333333333333333;12;0;54;80;36;3.0;5;3.0;0;0;0
