fileName;pathToFile;logging;exceptionExhaustive;exceptionBaseHeuristic;exceptionIncrementalHeuristic;exceptionAdvancedHeuristic;totalAmountSolutionsExhaustive;totalAmountSolutionsBaseHeuristic;totalAmountSolutionsIncrementalHeuristic;totalAmountSolutionsAdvancedHeuristic;amountCheapestSolutionsExhaustive;amountCheapestSolutionsBaseHeuristic;amountSolutionsIncrementalHeuristic;amountCheapestSolutionsAdvancedHeuristic;costCheapestSolutionExhaustive;costCheapestSolutionBaseHeuristic;costCheapestSolutionIncrementalHeuristic;costCheapestSolutionAdvancedHeuristic;exhaustiveCombsGenInSec;exhaustiveCalcMeasureInSec;exhaustiveExecutionTimeInSec;baseHeuristicCombsGenInSec;baseHeuristicCalcMeasureInSec;baseHeuristicExecutionTimeInSec;incrementalHeuristicCombsGenInSec;incrementalHeuristicCalcMeasureInSec;incrementalHeuristicExecutionTimeInSec;advancedHeuristicCombsGenInSec;advancedHeuristicCalcMeasureInSec;advancedHeuristicExecutionTimeInSec;amountReaders;amountWriters;amountDataObjects;averageAmountDataObjectsPerDecision;amountReadersPerDataObject;amountWritersPerDataObject;amountExclusiveGateways;amountParallelGateways;amountTasks;amountElements;amountSumAddActors;averageAmountAddActors;privateSphereSize;averageSphereSum;pathsThroughProcess;amountMandConst;amountExclConst
randomProcessModel788_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel788_annotated1.bpmn;null;null;null;null;null;4500;1;1;1;3;1;1;1;14.875;19.125;17;14.875;0.008018279;2.447482374;2.455500653;0.00655748;0.004159635;0.010717115;0.011338334;0.00455599;0.015894324;0.023338255;0.007254751;0.030593006;14;5;3;3;4.666666667;1.666666667;4;0;49;59;17;4.25;7;2.333333333;5;0;0
randomProcessModel508_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel508_annotated1.bpmn;null;null;null;null;null;10;1;1;1;2;1;1;1;12.25;12.25;12.25;12.25;5.70E-04;0.002184394;0.002754555;0.00188902;5.99E-04;0.0024883;0.003671791;0.001031315;0.004703106;0.009532482;8.94E-04;0.010426385;12;23;6;3;2;3.833333333;4;0;43;53;6;1.5;7;1.666666667;8;1;7
randomProcessModel14_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel14_annotated1.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;0;0;0;0;1.39E-04;4.75E-04;6.14E-04;3.54E-04;3.25E-04;6.80E-04;3.65E-04;2.97E-04;6.63E-04;4.80E-04;3.40E-04;8.20E-04;5;3;3;3;1.666666667;1;1;0;19;23;1;1;2;2.333333333;2;0;0
randomProcessModel719_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel719_annotated1.bpmn;null;null;null;null;null;2;1;1;1;2;1;1;1;2;2;2;2;7.50E-04;0.003742368;0.004492509;0.004298614;0.002203808;0.006502422;0.003852294;0.003799314;0.007651608;0.013082736;0.002186979;0.015269715;19;19;6;4.75;3.166666667;3.166666667;4;1;68;78;7;1.75;3;2.166666667;5;0;0
randomProcessModel907_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel907_annotated1.bpmn;null;null;null;null;null;720;1;1;1;240;1;1;1;40;41.5;41.5;41.5;0.002205559;0.739277647;0.741483206;0.002968732;0.00256343;0.005532162;0.003755955;0.002214685;0.00597064;0.003518013;0.001308068;0.004826081;7;7;5;1.75;1.4;1.4;4;2;78;88;17;4.25;7;2;9;0;2
randomProcessModel173_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel173_annotated1.bpmn;null;null;null;null;null;3;1;1;1;3;1;1;1;0;0;0;0;6.91E-05;4.90E-05;1.18E-04;1.41E-04;6.15E-05;2.03E-04;2.15E-04;8.18E-05;2.97E-04;7.76E-04;4.27E-05;8.19E-04;5;2;1;1;5;2;2;2;10;16;7;3.5;6;1;3;0;2
randomProcessModel497_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel497_annotated1.bpmn;null;null;null;null;null;3;1;1;1;3;1;1;1;34;34;34;34;3.41E-04;5.27E-04;8.68E-04;0.001421215;3.93E-04;0.00181469;0.001444499;3.99E-04;0.001843622;9.64E-04;2.43E-04;0.001207087;7;7;7;1.75;1;1;4;2;28;38;10;2.5;4;2.142857143;6;0;1
randomProcessModel660_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel660_annotated1.bpmn;null;null;null;null;null;9;1;1;1;1;1;1;1;0;0;0;0;8.24E-05;8.58E-05;1.68E-04;1.35E-04;1.34E-04;2.69E-04;2.36E-04;1.12E-04;3.48E-04;2.94E-04;6.66E-05;3.60E-04;46;23;2;2;23;11.5;1;0;77;81;8;8;10;1;2;0;0
randomProcessModel679_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel679_annotated1.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;4;4;4;4;1.62E-04;2.36E-04;3.99E-04;4.03E-04;1.89E-04;5.92E-04;0.001391498;7.20E-04;0.002111185;7.16E-04;1.82E-04;8.98E-04;6;6;4;3;1.5;1.5;2;2;59;65;4;2;3;1.25;3;0;0
randomProcessModel70_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel70_annotated1.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;0;0;0;0;2.05E-04;9.66E-04;0.001170463;5.97E-04;7.44E-04;0.001340431;0.00308594;9.85E-04;0.004070538;0.002968252;5.33E-04;0.003500981;16;16;2;2;8;8;4;1;30;40;6;1.5;3;1.5;5;2;1
